polity_id,year,gdp_int_usd,est_frac
Burkina Faso,2000,15831368653.818306,0.0
Canada,2000,1128614217399.218,0.0
Central African Republic,2000,3199570277.4731765,0.0016274656640075005
Chechen Republic,2000,8067720971.266205,0.0
Commonwealth of Australia,2000,713375263732.8336,0.0003465577129307162
Commonwealth of Dominica,2000,387774651.771616,0.0
Commonwealth of The Bahamas,2000,856079914.6811994,1.0
Communist Cuba,2000,44520965312.81792,0.0
Communist Laos,2000,12463328327.416605,0.0
Czech Republic,2000,166296612749.4595,0.0
Democratic People's Republic of Korea,2000,39812832370.31535,0.0
Democratic Republic of the Congo,2000,21481197898.407635,0.0005433827493282546
Denmark,2000,225772975662.09937,0.9822751820082821
Dominican Republic,2000,57548113767.35224,0.0
Equatorial Guinea,2000,5851214520.608018,0.0
Estado Novo,2000,211066037.73722368,0.0
Eswatini,2000,5439885795.341858,0.0
Ethiopia,2000,51573168006.82478,0.01980508924968759
Federal Republic of Nigeria,2000,265051395269.7948,0.0
Federal Republic of Somalia,2000,22846558954.15551,0.9945255914761584
Federated Republic of Germany,2000,2726911507670.4263,0.0
Former Yugoslav Republic of Macedonia,2000,16464491364.420284,0.0
French Fifth Republic,2000,948203750306.4915,0.0074031098466687765
Gabon,2000,13580125440.842777,0.0
Georgia,2000,23882418341.74733,0.0
Ghana,2000,39853255192.06539,0.0
Grenada,2000,961345354.213171,1.0
Guatemala,2000,65481869062.33043,0.023269697750498638
Guinea,2000,8797409673.243355,0.0
Guyana,2000,6986305204.963038,0.9771476598995297
Honduras,2000,20369163013.56695,0.0
Hungary,2000,134107194105.87062,0.0
Iraqi Republic,2000,92504213748.04842,0.0
Islamic Republic of Iran,2000,589954164882.1794,0.0
Islamic Republic of Pakistan,2000,456391163478.28357,0.0009260836394628111
Jamaica,2000,16861478499.310703,0.0
Japan,2000,4154475239926.57,0.0
Kazakhstan,2000,139114055895.29324,0.0
Kingdom of Bahrain,2000,5619988144.623478,0.0
Kingdom of Belgium,2000,347752248955.97485,0.0
Kingdom of Bhutan,2000,2389215343.563053,0.9514121363491633
Kingdom of Cambodia,2000,21442695598.175343,0.0
Kingdom of Great Britain,2000,1880112647259.0652,0.000688755508810682
Kingdom of Jordan,2000,40795535186.77144,0.0
Kingdom of Norway,2000,241952699169.1972,0.0
Kingdom of Saudi Arabia,2000,478770894194.45056,0.0
Kingdom of Spain,2000,1088255027926.0326,0.0001725260615355485
Kingdom of Sweden,2000,302814562522.36743,0.0
Kingdom of Thailand,2000,599996114233.864,0.0
Kosovo,2000,12218652612.725708,0.0
Kuwait,2000,69325438890.75461,0.0
Kyrgyzstan,2000,17070534426.884462,0.0
Lebanon,2000,29453973586.739983,0.0
Lesotho,2000,5581631884.209905,0.0
Libyan Arab Republic,2000,52074520366.870514,0.0
Luxembourg,2000,18687148545.497,0.0
Madagascar,2000,19032897554.83269,0.0
Malawi,2000,11032646660.625498,0.0
Malaysia,2000,306951147118.5384,0.001454787009390126
Mali Federation,2000,13255779598.812395,0.0
Malta,2000,8121098572.489736,0.0
Mauritania,2000,5068290405.72653,0.01195621691646879
Mauritius,2000,16317265093.874233,0.0
Mexico,2000,1273123385704.9973,0.00015786680877977728
Mongolia,2000,7214045938.256561,0.0
Morocco,2000,136584780565.02065,0.0
Mozambique,2000,23583312830.205814,0.0
Namibia,2000,11201535173.567303,0.0
Nepal,2000,42617972423.268394,0.0
Netherlands,2000,569312505410.5558,0.0
Netherlands Antilles,2000,5849553704.511495,0.9896085998789926
New Zealand,2000,103447067950.19864,0.0
Oriental Republic of Uruguay,2000,45523835324.96846,0.0
Papua New Guinea,2000,62792835389.45268,0.9947809687582296
Paraguay,2000,26180474680.893887,0.0
People's Democratic Republic of Algeria,2000,107221153811.65678,4.889357283131627e-05
People's Republic of Angola,2000,27942797771.637955,0.0
People's Republic of Bangladesh,2000,200067643232.35233,0.0
People's Republic of China,2000,5977789016246.954,4.0757157352757366e-05
Portugal,2000,242362149494.08212,0.00019113550323434145
Principality of Andorra,2000,1093099009.699381,0.7466112979600462
Principality of Monaco,2000,13971000118.559555,0.0
Republic of Albania,2000,15089227231.058275,0.0
Republic of Armenia,2000,18583840628.176178,0.0
Republic of Azerbaijan,2000,31837164554.519325,0.0
Republic of Belarus,2000,92409072973.0826,0.0
Republic of Benin,2000,12847630165.232874,0.0
Republic of Botswana,2000,13567019298.714186,0.0
Republic of Brazil,2000,1722072492575.233,0.00026523955723869265
Republic of Bulgaria,2000,67865123515.76058,0.0
Republic of Burundi,2000,4976013112.862258,0.0
Republic of Cabo Verde,2000,3222274800.2998595,0.0
Republic of Cameroon,2000,30383180525.671345,0.0
Republic of Chad,2000,6540112817.361174,0.0
Republic of Chile,2000,233696112616.43744,0.0
Republic of China,2000,426723532088.4505,0.0
Republic of Colombia,2000,337528363460.43866,0.0
Republic of Costa Rica,2000,36403150402.51884,0.0
Republic of Croatia,2000,59369007846.75007,0.0
Republic of Cyprus,2000,9525959357.552677,0.0
Republic of Côte d'Ivoire,2000,38766571722.318535,0.0
Republic of Djibouti,2000,230845505.2301755,0.006321579028416548
Republic of Ecuador,2000,84868822966.00928,0.0
Republic of El Salvador,2000,31456968381.978394,0.0
Republic of Estonia,2000,18838728873.269196,0.0
Republic of Fiji,2000,9035226406.230425,1.0
Republic of Finland,2000,168977944626.33167,0.0015856628030365076
Republic of Guinea-Bissau,2000,1524596459.7185395,0.0
Republic of Haiti,2000,15600836125.72677,0.0
Republic of Iceland,2000,9310339763.377916,0.0
Republic of India,2000,2901755737636.06,0.0007997379378929393
Republic of Indonesia,2000,1163187948993.8125,0.01290711890146671
Republic of Italy,2000,1861476543785.2598,0.00011828941856504254
Republic of Kenya,2000,61579341180.29227,0.0
Republic of Korea,2000,1060384728928.3162,0.0
Republic of Latvia,2000,26725968820.56041,0.0
Republic of Liberia,2000,2812905748.4013624,0.0
Republic of Lithuania,2000,37981018622.22147,0.0
Republic of Moldova,2000,10296496050.795832,0.0
Republic of Nicaragua,2000,14577829447.968132,0.0
Republic of Panama,2000,28269093189.758945,0.0
Republic of Peru,2000,155880436284.83362,0.0
Republic of Poland,2000,489278579017.4772,0.0
Republic of Rwanda,2000,8355041300.27615,0.0
Republic of Senegal,2000,18847862305.409283,0.0
Republic of Singapore,2000,129938274488.77223,0.0
Republic of Slovenia,2000,46678497450.28255,0.0
Republic of Sudan,2000,75598519533.34311,0.34467591615689647
Republic of Suriname,2000,2400260371.3934813,0.9953553743170255
Republic of Tajikistan,2000,10882627489.503468,0.0
Republic of The Gambia,2000,1928838762.5731122,0.0
Republic of Trinidad and Tobago,2000,24721239985.79545,0.0
Republic of Tunisia,2000,70518311312.02222,0.0
Republic of Turkey,2000,755165539123.9062,0.0
Republic of Uganda,2000,28326461227.285164,0.00827795732803414
Republic of Uzbekistan,2000,114096353646.21594,0.0
Republic of Yemen,2000,78267296908.32082,0.0
Republic of Zimbabwe,2000,28514475795.0193,0.0
Republic of the Congo,2000,11939742663.77509,0.0
Republic of the Niger,2000,7569700609.180608,0.0
Republic of the Philippines,2000,311136668021.9967,0.0
Romania,2000,158699289834.1357,0.0
Russian Federation,2000,1539848963168.7559,0.0
Russian-occupied territories,2000,2736174751.8509502,0.0
Saint Kitts,2000,536939125.186936,1.0
Saint Lucia,2000,80240243.870711,0.0
Saint Vincent,2000,1006556819.3873857,1.0
Second Republic of Austria,2000,290042289645.8514,1.785375260787207e-05
Serbia-Montenegro,2000,50425386030.74603,0.0
Sierra Leone,2000,3393993659.2991867,0.0
Slovakia,2000,74524289874.13803,0.0
Socialist Republic of Vietnam,2000,162794009801.47906,0.0
Solomon Islands,2000,4376910392.958942,1.0
South Africa,2000,325616138817.99786,0.0
Sri Lanka,2000,109491799689.53938,0.0
State of Eritrea,2000,10934345362.136967,0.9930576282601916
State of Israel,2000,187452800973.5877,0.0
State of Qatar,2000,13518290973.26596,0.0
Sultanate of Brunei,2000,3213495244.852853,0.7449853543139024
Sultanate of Oman,2000,26989128214.841057,0.0
Swiss Confederation,2000,291177111121.3644,0.002116835301325668
Syria,2000,119159756380.51195,0.0
São Tomé and Príncipe,2000,310925405.50319785,0.0
Taliban,2000,5300501193.3335285,0.0
Tanzania,2000,39188823311.52758,0.0
Third Hellenic Republic,2000,228267250975.95602,0.0
Togo,2000,5628307040.999175,0.0
Turkish Republic of Northern Cyprus,2000,2307042650.4077854,0.0
Turkmenistan,2000,19268718060.666225,0.0
Ukraine,2000,263785432525.0086,0.0
Union of Myanmar,2000,88487266485.35556,0.0
United Arab Emirates,2000,74913171329.373,0.0
United States of America,2000,13850111655814.045,2.400806806807833e-05
Vanuatu,2000,2137861593.456916,1.0
Venezuela,2000,339047655160.94476,0.0009167978042727609
Zambia,2000,13870750001.794668,0.0
Éire,2000,208967123845.16162,0.0
Afghanistan,2015,71971045888.07053,0.0
Antigua and Barbuda,2015,1292101793.4631076,1.0
Arab Republic of Egypt,2015,978883943257.1608,0.0
Argentine Republic,2015,804204637024.9789,0.0
Barbados,2015,3270135950.6422124,0.0
Belize,2015,3270848475.1405673,0.9955088679996763
Bolivia,2015,68284329174.6962,0.0
Bosnia and Herzegovina,2015,37167949368.83031,0.0
British Overseas Territories,2015,3596378823.758769,0.9752174668343192
Burkina Faso,2015,28018515178.63082,0.0
Canada,2015,1558637557298.2207,0.0
Central African Republic,2015,2595072315.364932,0.00464993786595104
Commonwealth of Australia,2015,1186982769999.2751,0.0004030515757831044
Commonwealth of Dominica,2015,626097013.7202301,0.0
Commonwealth of The Bahamas,2015,1509054577.7924383,1.0
Communist Cuba,2015,88125341542.16202,0.0
Communist Laos,2015,37193761535.78721,0.0
Czech Republic,2015,274993370638.1325,0.0
Democratic People's Republic of Korea,2015,48001797026.99479,0.0
Democratic Republic of the Congo,2015,66951539194.27612,0.00040072999405093445
Denmark,2015,279970603370.51184,0.9825356604996878
Dominican Republic,2015,142523545109.37164,0.0
East Timor,2015,20279208623.721226,0.946924181196231
Equatorial Guinea,2015,25971147063.668354,0.0
Estado Novo,2015,1291190052.9051352,0.0
Eswatini,2015,10421914888.40105,0.0
Ethiopia,2015,151600921615.79034,0.014963248711654274
Federal Republic of Nigeria,2015,1001660411722.5038,0.0
Federal Republic of Somalia,2015,48048500973.005646,0.9940648154427988
Federated Republic of Germany,2015,3615802887831.757,0.0
Former Yugoslav Republic of Macedonia,2015,25943519038.4562,0.0
French Fifth Republic,2015,1606557503429.9705,0.00750377673362506
Gabon,2015,31515741442.452904,0.0
Gaza/Hamas,2015,1931274095.1166825,0.0
Georgia,2015,46806242485.28372,0.0
Ghana,2015,102570950447.17816,0.0
Grenada,2015,1420962648.232739,1.0
Guatemala,2015,113862103668.80724,0.02895919833257626
Guinea,2015,15010182744.89313,0.0
Guyana,2015,10919947066.10058,0.9761287741514806
Honduras,2015,38280078609.69358,0.0
Hungary,2015,224324933957.75656,0.0
Islamic Republic of Iran,2015,1261952354599.5454,0.0
Islamic Republic of Pakistan,2015,962934348563.7457,0.0010768976941821287
Jamaica,2015,19587626975.43042,0.0
Japan,2015,4650016646912.506,0.0
Kazakhstan,2015,399962488584.50977,0.0
Kingdom of Bahrain,2015,32944540561.526672,0.0
Kingdom of Belgium,2015,430370332210.6091,0.0
Kingdom of Bhutan,2015,5395213280.679747,0.9384440068524608
Kingdom of Cambodia,2015,47575991837.18451,0.0
Kingdom of Great Britain,2015,3155567151744.882,0.0006377206255847792
Kingdom of Jordan,2015,93302645807.65062,0.0
Kingdom of Norway,2015,424640985791.79443,0.0
Kingdom of Saudi Arabia,2015,1604341469106.6465,0.0
Kingdom of Spain,2015,1511242761834.313,0.00019033584740227135
Kingdom of Sweden,2015,428675396767.46436,0.0
Kingdom of Thailand,2015,1053964977011.9299,0.0
Kosovo,2015,24900291959.05103,0.0
Kuwait,2015,224869260031.26178,0.0
Kyrgyzstan,2015,29370171055.042362,0.0
Lebanon,2015,54997620927.20755,0.0
Lesotho,2015,9455672313.309326,0.0
Luxembourg,2015,26260906516.628487,0.0
Madagascar,2015,32356008366.871483,0.0
Malawi,2015,21145131141.48354,0.0
Malaysia,2015,668890536199.4502,0.0015515420931838562
Mali Federation,2015,28461717773.801357,0.0
Malta,2015,12193185610.839844,0.0
Mauritania,2015,13086424989.280981,0.010202333101560138
Mauritius,2015,23714646617.1084,0.0
Mexico,2015,1945553587830.25,0.00018918138981557472
Mongolia,2015,36836051464.94628,0.0
Montenegro,2015,9798667116.566467,0.0
Morocco,2015,265938921278.07492,0.0
Mozambique,2015,32071864764.60544,0.0
Mujahideen,2015,28697762109.158863,0.0
Namibia,2015,23079325757.354126,0.0
Nepal,2015,87929033953.50923,0.0
Netherlands,2015,719174413188.8723,0.0
Netherlands Antilles,2015,10127766737.09074,0.9906898151328363
New Zealand,2015,155279567039.3722,0.0
Oriental Republic of Uruguay,2015,69395330153.57315,0.0
Papua New Guinea,2015,135481040877.05632,0.99339574610684
