from,to,population
Taifa of Tortosa,County of Urgell,804.7135620117188
Stateless & unmapped,Southern Wu,803.7070922851562
Bahrani Dynasty,Stateless & unmapped,802.016977019608
Stateless & unmapped,Shu Han,801.775749206543
Chu,Song,800.6533691406249
Dutch Republic,English Colonial Empire,800.0084838867188
Stateless & unmapped,Western Wei,797.8593521118164
Kingdom of Armenia,Eastern Roman Empire,797.2278442382812
Cao Cao,Stateless & unmapped,795.071949005127
(Chenla),Stateless & unmapped,794.913444519043
Stateless & unmapped,Kingdom of Lazica,792.4249610900879
Kingdom of Sophene,Parthian Empire,791.7574714660643
Phrygia,Neo-Assyrian Empire,788.3686981201172
Stateless & unmapped,Republic of Costa Rica,787.3831176757812
Kievan Rus',Kingdom of Hungary,784.1275024414062
Sultanate of Kedah,Malaya,783.2669830322266
Nabataeans,Seleucid Empire,781.3820434570313
British Africa,State of Israel,781.2578277587891
Kingdom of Osroene,Kingdom of Adiabene,779.5836181640625
Avar Khaganate,Duchy of Croatia,776.0709075927734
Kingdom of Duklja,Kingdom of Hungary,776.035400390625
Kievan Rus',Stateless & unmapped,775.5489206314087
Principality of Minsk,Principality of Turov and Pinsk,773.8645477294922
Principality of Turov and Pinsk,Principality of Minsk,773.8645477294922
Southern Wu,Stateless & unmapped,773.8084106445312
Duchy of Burgundy,House of Bourbon,772.2986450195312
Kingdom of Pinya,Stateless & unmapped,771.445068359375
House of Jagiellon,Eastern Hungarian Kingdom,768.6605682373047
Stateless & unmapped,Electorate of Saxony,766.1725769042969
Tibetan Empire,Abbasid Caliphate,765.8220909535885
Republic of Chile,Stateless & unmapped,765.7827758789062
Lohara Dynasty,Stateless & unmapped,762.8444705829024
Lan Xang,Ming Dynasty,762.5558471679688
Kingdom of Israel,Phoenicia,762.2364257812501
Kingdom of England,Crown of Aragon,761.2381896972656
Giudicato of Cagliari,Stateless & unmapped,761.1855087280273
New Netherland,Portuguese Empire,760.4230155944824
Duchy of Aquitaine,Kingdom of France,760.289794921875
Tibet,Gorkha Kingdom,759.1731001138687
Magyars,Khazaria,758.4815276265144
Ilkhanate,Beylik of Aydin,758.4813842773438
Khazaria,Magyars,757.6446357406676
Kingdom of Denmark,(Holy Roman Empire),757.3582916259766
Cao Wei,Tuyuhun,757.0474911630154
Kingdom of Croatia,Kingdom of Duklja,755.6134033203125
Stateless & unmapped,Southern Chu,755.5237579345703
Kingdom of Arles,Duchy of Aquitaine,755.2449340820312
Bagratid Armenia,Great Seljuk Empire,755.0659484863281
Electorate of Brandenburg,Electorate of Saxony,753.1954650878906
Kingdom of Dali,Ngô Dynasty,752.4978179931641
Electorate of Brandenburg,Holy Roman Empire Minor States,749.2521820068359
Beylik of Saruhan,Stateless & unmapped,748.0452270507812
Golden Horde,(Kingdom of Poland),747.7588195800781
Blue Horde,House of Jagiellon,747.7065505981445
Chámpa,Stateless & unmapped,747.3674960136414
Lodi Dynasty,Kashmiri Sultanate,746.4172128736973
Kingdom of Thailand,Communist Laos,745.2299957275391
Stateless & unmapped,Ziyadid dynasty,744.8871383666992
Ayutthaya Kingdom,Sultanate of Perak,744.2109069824219
East Franks,Kingdom of Denmark,744.0899276733398
Argentine Confederation,Stateless & unmapped,741.2654695510864
Nitra,Stateless & unmapped,737.6445007324219
Duchy of Opole,Duchy of Sandomierz,736.9410095214844
Kashmiri Sultanate,Lodi Dynasty,735.9043089747429
Kingdom of Gwynedd,Kingdom of Powys Fadog,735.07177734375
Russian Empire,Empire of Japan,734.0509641170502
Byzantine Empire,Principality of Serbia,733.4999847412109
Duchy of Gascony,Stateless & unmapped,730.6293029785156
Stateless & unmapped,County of Toulouse,729.1919555664062
Western Moghulistan,Eastern Moghulistan,728.2849988937378
Morocco,People's Democratic Republic of Algeria,726.265682220459
Tughlaq Dynasty,Kashmiri Sultanate,725.3913745880127
Duchy of Thuringia,Saxons,723.7016906738281
Ottoman Empire,Principality of Transylvania,721.7101745605469
Stateless & unmapped,Twenty-sixth Dynasty of Egypt,720.8145887836814
Wei,Qin,719.9921928405763
Stateless & unmapped,Sultanate of Rum,719.4555511474609
Khanate of Kazan,Grand Principality of Moscow,718.7911491394043
Stateless & unmapped,Protectorate of the Western Regions,715.1245407313108
Ghurid Dynasty,Stateless & unmapped,712.8355759084225
Kingdom of Hungary,Principality of Halych,711.4994201660156
Kingdom of Thuringia,Saxons,711.1052551269531
Stateless & unmapped,Kingdom of Pinya,709.9530639648438
Kingdom of Champasak,Khmer Empire,709.9384632110596
Protectorate of the Western Regions,Stateless & unmapped,707.8231410980225
County of Besalú,Stateless & unmapped,707.2630004882812
Serbian Empire,Kingdom of Bosnia,706.7590026855469
Kingdom of León,Almohad Caliphate,706.3329620361328
Duchy of Bavaria,(Kingdom of Bohemia),705.4729309082031
Stateless & unmapped,Samtskhe-Saatabago,704.9057006835938
Western Jin,Northern Wei,702.2626342773438
Belgian Congo,Republic of the Congo,701.6847839355469
Kingdom of Lower Burgundy,Papal States,701.2156982421875
Stateless & unmapped,Carantania,697.707275390625
Duchy of Wrocław,Duchy of Silesia,697.3575134277344
Uyunid Emirate,Mahdids,695.1355055645108
Hammadid Dynasty,Almoravid Dynasty,694.8605194091797
Âu Lạc,Stateless & unmapped,694.0810276031494
Free County of Burgundy,Holy Roman Empire Minor States,690.2607421875
Bahrani Dynasty,Aq Qoyunlu,689.881233215332
Kingdom of Portugal,Kingdom of León,689.1837844848633
Principality of Mingrelia,Kingdom of Imereti,689.1387939453125
Netherlands Antilles,British Colonial Empire,688.6177062988281
Gojoseon,Stateless & unmapped,688.3663639068604
Principality of Terebovlia,Halych-Volhynia occupation,686.6226654052734
Sultanate of Kedah,Kingdom of Thailand,686.5945434570312
Lazica,Eastern Roman Empire,682.2940063476562
Saxons,Duchy of Thuringia,681.7147827148438
Babylonia,Median Kingdom,680.7564781188964
Stateless & unmapped,Qi,674.3867431640625
Lan Na,Southern Ming,670.2003860473633
Water Chenla,Land Chenla,669.0009765625
(Kingdom of the Franks),Bavarians,667.9981079101562
Majapahit,Samudera Pasai Sultanate,667.9291381835938
Taifa of Zaragoza,Kingdom of León,667.5259704589844
Georgia,Shirvan,667.279541015625
Wusun,Han Dynasty,665.2885863352566
(Kingdom of Poland),Pomerania,665.2622985839844
Duchy of Silesia,(Kingdom of Denmark),661.2866821289062
Tang Dynasty,Ganzhou Kingdom,661.2086767926812
Thessaly,Despotate of Epirus,658.56982421875
Ottoman Empire,Empire of Trebizond,657.6276550292969
Papal States,Holy Roman Empire,656.2160034179688
(Kingdom of Bohemia),Stateless & unmapped,655.8455200195312
Janapada of Vajji,Stateless & unmapped,655.3463531494141
Kingdom of Cappadocia,Parthian Empire,655.3268127441406
Kingdom of Great Britain,Qatar Protectorate,654.8096504211426
Kingdom of Lower Burgundy,Kingdom of Arles,651.4110412597656
Stateless & unmapped,Jalayirid Sultanate,648.1884765625
Former Liang,Stateless & unmapped,647.1899909973145
Lan Xang,Đại Việt,646.7341461181641
Stateless & unmapped,Federal Republic of Somalia,646.0525970458984
Hamdanid Emirates,Shirvan,643.4252700805664
Saxons,Scandinavian minor kingdoms,643.1575012207031
Galicia-Volhynia,Principality of Moldavia,642.6635437011719
Kashmir,Ghaznavid Empire,641.2880520224571
Later Han,Stateless & unmapped,638.874755859375
Kingdom of Seisyllwg,Stateless & unmapped,638.1909790039062
Principality of Transylvania,Principality of Wallachia,637.0150756835938
Holy Roman Empire,Duchy of Wrocław,633.1458129882812
Kingdom of Sweden,Stateless & unmapped,630.6275098323822
Ramadanid Emirate,Stateless & unmapped,628.4376220703125
(Kingdom of Bohemia),House of Jagiellon,628.0641479492188
(Kingdom of England),Kingdom of Scotland,627.6276245117188
Danish Magnates,Stateless & unmapped,627.5139312744141
Pagan Kingdom,Pyu City-States,627.0193481445312
Hamdanid Emirates,Buyid Dynasty,626.3293762207031
Bolivia,Republic of Peru,625.3356628417969
Korean Jin,Stateless & unmapped,623.6132548332215
Thracian Kingdom,Stateless & unmapped,623.5472869873047
Stateless & unmapped,Qarlugs,622.5886554718018
Hadhramaut,Stateless & unmapped,621.6843670368195
Median Kingdom,Stateless & unmapped,620.6019725918771
Greek Dark Ages,Stateless & unmapped,618.9619171142579
Stateless & unmapped,Principality of Pereyaslavl,614.4706344604492
Malaya,Stateless & unmapped,613.1288509368896
(Macedonian Empire),Odrysian Kingdom,612.8961013793946
Kingdom of Cappadocia,Roman Republic,612.6387710571289
Kingdom of Mercia,Kingdom of Gwent,610.9407997131348
Almoravid Dynasty,Taifa of Silves,608.0151901245117
Gothia,Western Roman Empire,607.9154663085938
Bolivia,Argentine Republic,606.6054172515869
Electorate of Brandenburg,(Habsburg Monarchy),605.6805725097656
Sajid Dynasty,Kingdom of Vaspurakan,602.3626403808594
Middle Franks,West Franks,594.517333984375
(Kingdom of Poland),Principality of Moldavia,593.7654037475586
County of Barcelona,County of Urgell,592.2301025390625
Sultanate of Palembang,Sultanate of Jambi,591.7257690429688
Mongol Khanate,Kazakh Khanate,589.4764003753662
Wusun,Xionites,589.4245872497559
Kingdom of Armenia,Kingdom of Gordyene,589.3712985992431
(Kingdom of Poland),(Kingdom of Bohemia),588.8101501464844
Kingdom of Northumbria,Strathclyde,588.5046920776367
Kingdom of Sarawak,Stateless & unmapped,587.940673828125
Caliphate of Córdoba,Hammadid Dynasty,586.5382385253906
Islamic Republic of Pakistan,People's Republic of China,584.7982318401337
Elam,Assyria,584.7662677764893
Kazakh Khanate,Western Moghulistan,584.2257986068726
Kingdom of Spain,Mauritania,584.0667006969452
Ngô Dynasty,Sukhothai Kingdom,582.4811096191406
Byeonhan,Stateless & unmapped,582.4213714599609
Russian Empire,Kazakh Khanate,579.4696916341782
Khazaria,Umayyad Caliphate,577.9067988395691
British Africa,Central African Republic,576.8815765380859
Funan,Stateless & unmapped,575.3385052680969
Obotrites,Scandinavian minor kingdoms,572.9873046875
Khanate of Bukhara,Afsharid Iran,572.4267613887787
Stateless & unmapped,Kingdom of Duklja,571.2987289428711
Stateless & unmapped,Hubaekje,571.2137451171875
Zengid dynasty,Great Seljuk Empire,571.1322784423828
Stateless & unmapped,Communist Cuba,570.7988805770874
County of Champagne,Holy Roman Empire Minor States,570.6111450195312
Galatia,Kingdom of Bithynia,570.248779296875
Stateless & unmapped,Empire of Haiti,569.264404296875
Qin,Zhao,567.4752059936523
Belgian Congo,Central African Republic,565.4204406738281
Catalan Company,Stateless & unmapped,565.0361595153809
Sultanate of Mempawah,Stateless & unmapped,562.0187759399414
Kingdom of Pergamon,Greek City-States,560.4368991851807
Kingdom of Dali,Sukhothai Kingdom,559.5077266693115
Principality of Volhynia,Stateless & unmapped,559.288200378418
Mongol Khanate,Ming Dynasty,558.6365833282471
Stateless & unmapped,Iraqi Republic,556.4680536985397
Albanian Principalities,Serbian Empire,555.379638671875
Stateless & unmapped,Despotate of Arta,553.8820648193359
Ganzhou Kingdom,Stateless & unmapped,552.0441570281982
Angles,Stateless & unmapped,551.6901702880859
Stateless & unmapped,Paphlagonia,550.2212905883789
Great Yuan,Stateless & unmapped,550.1241855621338
Caliphate of Córdoba,Kingdom of Castile,549.6213684082031
Samudera Pasai Sultanate,Majapahit,549.4255676269531
Germiyanids,Mamluk Sultanate,547.8108825683594
County of Ampuria,County of Rosellón,543.5162963867188
Taifa of Silves,Almoravid Dynasty,542.8694610595703
Sasanian Empire,Western Göktürks,541.7013930305839
Dutch East Indies,British Colonial Empire,539.6108779907227
County of Urgell,County of Barcelona,538.3909912109375
Stateless & unmapped,Kingdom of the Two Sicilies,535.9410400390625
East Franks,Principality of Serbia,534.4138641357422
Stateless & unmapped,County of Berga,533.2335205078125
Baekje,Silla,532.5398712158203
Grand Principality of Moscow,Qasim Khanate,531.9337768554688
Judea,Nabataeans,531.5190952301025
(Kingdom of England),Crown of Aragon,528.7408294677734
Western Satraps,Sasanian Empire,528.5340824127197
Stateless & unmapped,United Kingdoms of Sweden and Norway,526.7516174316406
Taifa of Toledo,Taifa of Albarracín,524.8267211914062
French Africa,Federal Republic of Somalia,524.6185913085938
Stateless & unmapped,People's Republic of Bulgaria,524.4744262695312
House of Jagiellon,Kingdom of Bohemia,517.2413940429688
Duchy of Sandomierz,Mongol Empire,516.8823089599609
Eastern Göktürks,Stateless & unmapped,516.0555614233017
Principality of Polotsky,Principality of Turov and Pinsk,515.5233459472656
Sultanate of Brunei,Sultanate of Sambas,514.5980105400085
Kingdom of Bhutan,British Raj,513.7694702148438
Balhae,Tang Dynasty,513.5929431915283
Holy Roman Empire Minor States,House of Jagiellon,512.9987182617188
Kingdom of Hungary,(Kingdom of Poland),512.4403915405273
Byzantine Empire,Samtskhe-Saatabago,511.40899658203125
Almoravid Dynasty,Taifa of Saltés and Huelva,511.0965461730957
Umayyad Caliphate,Dabuyid Dynasty,508.62039947509766
Patani Kingdom,Sultanate of Perak,508.05043029785156
Cao Wei,Stateless & unmapped,507.95159912109375
Sultanate of Bone,Stateless & unmapped,506.3485412597656
Kingdom of Armenia,Caucasian Albania,504.8768501281738
Dzungar Khanate,Russian Empire,504.5070958137512
Southern Ming,Tibet,504.0945529937744
Duchy of Sandomierz,Duchy of Greater Poland,500.9249267578125
County of Pallars Sobirà,(Kingdom of England),500.53501892089844
Sui Dynasty,Tuyuhun,500.2428069114685
Nguyễn lords,Vientiane,499.92869567871094
County of Toulouse,Stateless & unmapped,499.0952682495117
Western Göktürks,Turk Shahis,498.9863920211792
Kingdom of Gordyene,Parthian Empire,498.46997833251953
Western Xia,Kara-Khitans,496.49157333374023
Sasanian Empire,Western Satraps,495.19033432006836
Timurid Empire,Byzantine Empire,492.99827575683594
Second Bulgarian Empire,Golden Horde,492.53125
Muhammad Ali dynasty,Ethiopian Empire,491.77569580078125
Margraviate of Brandenburg,(Kingdom of Bohemia),491.1999816894531
Teutonic Order,(Kingdom of Poland),491.08465576171875
Umayyad Caliphate,Byzantine Empire,490.95263671875
Iraqi Republic,Syria,489.7409152984619
Kingdom of Imereti,Principality of Mingrelia,489.3292541503906
Kingdom of Lindsey,Kingdom of Deira,488.88400650024414
Timurid Empire,Empire of Trebizond,487.3658752441406
Northern Wei,Tuyuhun,486.45442819595337
Stateless & unmapped,Albanian Principalities,485.8736267089844
Twenty-sixth Dynasty of Egypt,Stateless & unmapped,482.3712849020958
Halych-Volhynia occupation,Stateless & unmapped,482.08643341064453
Chámpa,Cambodia,481.7243347167969
Golden Horde,Shirvan,481.35824394226074
Old Kingdom of Norway,Kalmar Union,479.9229850769043
Zululand,Stateless & unmapped,479.1195373535156
Ripuarian Franks,Western Roman Empire,478.93463134765625
Kashmir and Jammu,Stateless & unmapped,478.6164599657059
Yuezhi,Indo-Parthians,476.93617248535156
Takrur,Stateless & unmapped,476.8556957244873
Southern Han,Ngô Dynasty,476.4212951660156
Electorate of Brandenburg,Polish-Lithuanian Commonwealth,475.5770568847656
Tibet,Stateless & unmapped,475.1346802711487
Stateless & unmapped,Venezuela,473.26150047779083
Margraviate of Brandenburg,Electorate of Saxony,472.1694030761719
Principality of Kiev,Stateless & unmapped,471.5353317260742
Makuria Kingdom,Funj Sultanate,470.9551696777344
Banate of Bosnia,Republic of Ragusa,470.09747314453125
Ottoman Empire,Pahlavi Dynasty,469.2787170410156
Empire of Trebizond,Timurid Empire,469.1654968261719
Duchy of Kuyavia,Duchy of Masovia,468.0921936035156
Kingdom of Pamplona,County of Aragon,468.0214385986328
Haiti,Dominican Republic,466.3063049316406
Dutch Ceylon,Stateless & unmapped,465.6456756591797
Kingdom of Mercia,Kingdom of East Anglia,465.64270782470703
Great Seljuk Empire,Sultanate of Rum,465.0122375488281
Germiyanids,Timurid Empire,464.53443145751953
Khmer Empire,Kingdom of Champasak,462.7329635620117
Stateless & unmapped,Kingdom of Khotan,461.0712614059448
Brythons,Kingdom of Gwent,459.7939453125
House of Habsburg,Duchy of Bavaria,458.02391052246094
Sultanate of Harar,Ethiopian Empire,457.29430052638054
South Africa,Republic of Botswana,456.6584129333496
Stateless & unmapped,Kingdom of Seisyllwg,456.1188507080078
Georgia,Bagratid Armenia,454.19857025146484
Qing Dynasty,British Empire,452.527724981308
Later Qin,Rouran Khaganate,451.66236114501953
Maurya Empire,Kalinga,449.5122894287109
Kingdom of Luang Phrabang,Konbaung Dynasty,449.040283203125
Norway-Denmark,Kingdom of Sweden,447.257568359375
Banate of Bosnia,Kingdom of Syrmia,443.1161193847656
Principality of Smolensk,Mongol Empire,442.7487602233887
Stateless & unmapped,Beylik of Saruhan,441.8990936279297
Kingdom of Hungary,Principality of Terebovlia,441.81781005859375
Chenla,Lavo Kingdom,441.3262176513672
Angevin Empire,County of Blôis,440.1551208496094
Kingdom of Gwent,Kingdom of England,438.7115936279297
Stateless & unmapped,Đại Việt,438.4978942871094
Tang Dynasty,Kingdom of Dali,437.73999786376953
Holy Roman Empire Minor States,(Kingdom of Poland),436.9827880859375
Shan States,Lan Na,436.09771728515625
Stateless & unmapped,Chobanids,435.87596893310547
Khanate of Khiva,Stateless & unmapped,435.8580038547516
Greek Colonies,Cimmerian Bosporus,435.3677646636963
Taifa of Niebla,Almoravid Dynasty,435.1888427734375
Portuguese Empire,French Second Republic,434.2476577758789
Northern Fujiwara,Stateless & unmapped,432.481689453125
Kazakh Khanate,Safavid Dynasty,431.5628967285156
Duchy of Głogów,Kingdom of Poland,429.7686767578125
Spanish Empire,Haiti,429.56744384765625
Western Qin,Tuyuhun,427.6652069091797
Galatia,Kingdom of Cappadocia,427.58210601806644
Qin,Han,427.44923706054686
Principality of Peremyshl,Kingdom of Hungary,427.0336570739746
Qocho Kingdom,Eastern Kara-Khanids,426.29010850191116
Stateless & unmapped,Guatemala,422.0069351196289
Sultanate of Sukadana,Stateless & unmapped,421.96484375
Kingdom of Northumbria,Dál Riata,420.88049602508545
Duchy of Greater Poland,Holy Roman Empire,420.7929382324219
Konbaung Dynasty,Rattanakosin Kingdom,419.7820510864258
Duchies of Poland,(Kingdom of Bohemia),417.7242736816406
Khoshut Khanate,Tümed,416.67697525024414
Western Roman Empire,Hunnic Empire,416.1634750366211
Republic of Chile,Bolivia,416.0451285839081
Southern Ming,Trịnh lords,414.62945556640625
Scandinavian minor kingdoms,Norway-Denmark,413.9521179199219
Germiyanids,Jalayirid Sultanate,412.9742431640625
Kingdom of Bhutan,Tibet,412.95291071385145
House of Habsburg,Duchy of Styria,412.8858947753906
Shu Han,Stateless & unmapped,412.6996383666992
Capetian House of Anjou,Holy Roman Empire Minor States,412.0515670776367
Republic of Pisa,Giudicato of Logudoro,410.42005920410156
Golden Horde,Republic of Venice,408.7997741699219
Republic of Venice,Republic of Genoa,408.7997741699219
Kingdom of Khotan,Qocho Kingdom,406.4024848937988
Sultanate of Perak,Stateless & unmapped,405.9298553466797
British Empire,Emirate of Afghanistan,405.26483154296875
Yuan Dynasty,Golden Horde,404.82961916923523
Strathclyde,Brythons,404.7283020019531
Stateless & unmapped,Duchy of Brittany,403.35919189453125
Hamdanid Emirates,Mahdids,402.6270897164941
Mahdids,Hamdanid Emirates,402.6270897164941
Stateless & unmapped,Republic of Ecuador,401.8172335624695
Kingdom of Seisyllwg,Kingdom of Powys,399.4434509277344
Kazakh Khanate,Tsardom of Russia,398.9286861419678
Samudera Pasai Sultanate,Stateless & unmapped,398.8658447265625
Riau-Lingga Sultanate,Sultanate of Jambi,398.6650695800781
Catalan Company,Principality of Achaea,398.26519775390625
Kingdom of Alba,Norman England,397.3671569824219
Grand Principality of Moscow,Principality of Vladimir-Suzdal,397.2913818359375
Republic of India,Islamic Republic of Pakistan,396.2672119140625
Kingdom of Powys,Kingdom of Gwynedd,395.49273681640625
Novgorod Republic,Principality of Vladimir-Suzdal,393.8414783477783
Jalayirid Sultanate,Stateless & unmapped,391.83056640625
Kingdom of Bhutan,People's Republic of China,391.7029266357422
Austrian Empire,Swiss Confederation,391.2845859527588
Đại Việt,Ming Dynasty,390.77319717407227
Republic of Venice,Republic of Ragusa,390.65367889404297
Danelaw,Stateless & unmapped,389.9144630432129
County of Berga,County of Rosellón,389.5715026855469
Stateless & unmapped,Western Kushans,388.58793944120407
Chobanids,Stateless & unmapped,387.44529724121094
Ghana Empire,Stateless & unmapped,386.973388671875
Margraviate of Brandenburg,Kingdom of Bohemia,385.4330749511719
Nguyễn dynasty,Khmer Empire,385.0565490722656
Teutonic Order,Stateless & unmapped,381.97122287750244
Kingdom of Singapura,Majapahit,379.83233642578125
Taifa of Granada,Taifa of Almería,379.5400695800781
Upper Burgundy,Duchy of Aquitaine,375.7696838378906
Tang Dynasty,Turks,374.2151458263397
Stateless & unmapped,Éire,373.6464538574219
Shan States,Lan Xang,372.42584228515625
Tuyuhun,Western Wei,371.3863134384155
Stateless & unmapped,Principality of Vladimir-Suzdal,370.81843519210815
Greek City-States,Scythia,367.74001884460444
Despotate of Epirus,Duchy of Athens,366.25164794921875
Qing Dynasty,Tsardom of Russia,366.16779136657715
Indo-Parthians,Indo-Scythians,365.1464214324951
Grand Duchy of Lithuania,Novgorod Republic,364.87567138671875
British Cape Colony,Natalia Republic,364.70703125
Novgorod Republic,House of Jagiellon,363.60455322265625
Tuyuhun,Later Liang,363.435001373291
Stateless & unmapped,Eastern Göktürks,362.8908703327179
British Cape Colony,Stateless & unmapped,361.74176025390625
Eastern Moghulistan,Oirat Confederation,360.2533769607544
Lower Burgundy,Kingdom of Italy,359.69383239746094
West Franks,Emirate of Córdoba,358.27093505859375
Hanthawaddy Kingdom,Ayutthaya Kingdom,357.2480773925781
Bagratid Armenia,Kingdom of Georgia,354.8632125854492
Ghaznavid Empire,Western Karakhanid Khanate,353.6250686645508
Muhammad Ali dynasty,Italian Africa,353.18067359924316
Kingdom of Luang Phrabang,Qing Dynasty,352.4588928222656
Bavarians,Carantania,351.1691207885742
Kara-Khanids,Great Seljuk Empire,350.4737186431885
Kingdom of Gordyene,Kingdom of Adiabene,349.11354064941406
Taifa of Zaragoza,Taifa of Tortosa,349.002685546875
Stateless & unmapped,Wuyue,343.6957702636719
Ottoman Empire,Kingdom of Spain,343.2928466796875
Kara-Khanids,Stateless & unmapped,342.68924713134766
Yuan Dynasty,Ngô Dynasty,342.50001525878906
Kingdom of Powys,Kingdom of Seisyllwg,342.4640197753906
Stateless & unmapped,County of Holland,341.6950225830078
Kingdom of Hungary,Principality of Peremyshl,341.6269226074219
Kingdom of Northumbria,Kingdom of Wessex,341.5912780761719
Kingdom of Castile,(Taifas of Iberia),341.4412536621094
Swedish Empire,Polish-Lithuanian Commonwealth,341.1640319824219
County of Maine,County of Blôis,340.8339538574219
Gorkha Kingdom,Qing Dynasty,339.9346056878567
Seleucid Empire,Atropatene,339.8438217163086
Kingdom of the Franks,Duchy of Croatia,338.58790588378906
Turk Shahis,Turks,336.9763722419739
Kingdom of Georgia,Golden Horde,336.4464740753174
Qing Dynasty,Nepal,336.23812460899353
Stateless & unmapped,Republic of Cameroon,336.0428771972656
Georgia,Russian Federation,334.5477600097656
County of Pallars,County of Urgell,331.5325164794922
Principality of Minsk,Principality of Smolensk,331.1705017089844
Wuyue,Stateless & unmapped,330.9099426269531
Byzantine Empire,Kingdom of Hungary,330.8022918701172
Burma,Rattanakosin Kingdom,328.256103515625
Empire of Trebizond,Aq Qoyunlu,328.185302734375
Dzungar Khanate,Khanate of Bukhara,325.4803466796875
Regency of Algiers,Stateless & unmapped,324.9742736816406
Old Kingdom of Norway,Stateless & unmapped,324.4405887722969
(Kingdom of Poland),Teutonic Order,324.25709533691406
Mongol Khanate,Stateless & unmapped,320.801700592041
Stateless & unmapped,Indus Valley Civilization,320.6264969110489
Principality of Smolensk,Blue Horde,320.1294250488281
Baekje,Stateless & unmapped,320.1168212890625
Dong-okjeo,Stateless & unmapped,319.9009437561035
Kingdom of Spain,French Africa,319.15662467479706
British Africa,Republic of Côte d'Ivoire,317.80029296875
Kingdom of Kent,Kingdom of Wessex,317.7351379394531
Stateless & unmapped,Southern Ming,317.4040985107422
German Empire,Republic of Indonesia,316.5645751953125
Lan Na,Konbaung Dynasty,315.8722267150879
Chobanids,Qara Qoyunlu,314.64751133322716
Stateless & unmapped,Four Oirats,311.5972158908844
Principality of Kiev,Principality of Minsk,311.35630798339844
United Kingdoms of Sweden and Norway,Stateless & unmapped,311.2302551269531
Omani Slave Coast,Stateless & unmapped,309.8954849243164
Republic of Ecuador,Republic of Peru,309.45953369140625
Kingdom of Italy,Samo's Empire,308.6568298339844
Kingdom of Imereti,Principality of Svaneti,308.4027404785156
Western Kushans,Sasanian Empire,307.6377258300781
Kingdom of Deira,Stateless & unmapped,307.01542568206787
Northern Wei,Liu Song Dynasty,306.5174026489258
Kingdom of Lazica,Umayyad Caliphate,306.0400619506836
Kingdom of Vaspurakan,Great Seljuk Empire,303.7554740905762
Stateless & unmapped,Sultanate of Harar,300.74688720703125
Han Dynasty,Chámpa,300.59045696258545
Principality of Wallachia,Principality of Bulgaria,300.50665283203125
Ming Dynasty,Khoshut Khanate,299.88624572753906
Kashmiri Sultanate,Tibet,299.1589906811714
Lombards,Eastern Roman Empire,297.2644958496094
Eastern Roman Empire,Ostrogothic Kingdom,296.96722412109375
Kingdom of Cappadocia,Greek City-States,296.35048599243163
Byzantine Empire,Hamdanid Emirates,295.6421585083008
County of Urgell,County of Pallars Sobirà,294.14599609375
Kingdom of Mercia,Kingdom of England,292.10667419433594
Kingdom of Georgia,Hamdanid Emirates,290.09637451171875
Frisia Kingdom,Stateless & unmapped,289.6405029296875
Lan Xang,Lê Dynasty,286.21463775634766
Sasanian Empire,Gupta Empire,285.7014694213867
Georgia,Byzantine Empire,285.48276138305664
Eastern Moghulistan,Mughal Empire,285.17413056641817
Nizhny Novgorod,Stateless & unmapped,284.96109771728516
Salian Franks,Stateless & unmapped,284.59913635253906
Kingdom of Bithynia,Stateless & unmapped,284.1849494934082
Vientiane,Tây Sơn dynasty,281.80723762512207
Roman Empire,Kingdom of Armenia,281.71400451660156
Dutch East Indies,Sultanate of Jambi,280.8357849121094
Stateless & unmapped,Makuria,279.1530022621155
Ottoman Empire,Ethiopian Empire,277.26344299316406
County of Barcelona,Taifa of Valencia,276.5900192260742
Malaya,Kingdom of Singapura,276.31628227233887
Eastern Kushans,Sasanian Empire,275.7862129211426
Duchy of Sandomierz,Stateless & unmapped,274.96837615966797
Lakhmid Kingdom,Ghassanids,274.1058979034424
Kingdom of Aragon,Taifa of Zaragoza,273.7532958984375
Kingdom of England,Brythons,272.4718017578125
Khanate of Kokand,Qing Dynasty,271.8218994140625
Dutch Cape Coast,Stateless & unmapped,270.5138940811157
Stateless & unmapped,Great Yuan,270.4523551940918
Kievan Rus',(Kingdom of Poland),269.67772674560547
Danelaw,Brythons,268.7852783203125
Tibetans,Eastern Kara-Khanids,268.1952133178711
Novgorod Republic,Grand Duchy of Lithuania,268.0344543457031
Central African Republic,Republic of Sudan,261.8539447784424
Rouran Khaganate,Western Wei,261.3293991088867
Seleucid Empire,Ptolemaic Kingdom,259.7320159912109
United States of America,Canada,259.36238384246826
Roman Empire,Nabataeans,258.2358055114746
County of Aragon,Caliphate of Córdoba,257.3011016845703
Montenegro,Republic of Albania,257.15447998046875
Samanid Empire,Kingdom of Khotan,255.942830696702
Neo-Assyrian Empire,Median Kingdom,254.3506866455078
Ottoman Empire,Republic of Ragusa,252.3897247314453
Kingdom of Deira,Kingdom of Mercia,252.1654510498047
Golden Horde,Kingdom of Georgia,251.56671524047852
Emirate of Afghanistan,Russian Empire,249.5531768798828
Livonian Conference,Tsardom of Russia,249.02127647399902
Principality of Jersika,Grand Duchy of Lithuania,248.77753448486328
Neo-Assyrian Empire,Neo-Babylonian Empire,248.73082962036133
Tang Dynasty,Abbasid Caliphate,245.00537109375
(Holy Roman Empire),Electorate of Brandenburg,244.79415130615234
