from,to,population
Stateless & unmapped,Dutch East Indies,4537327.863075435
Buyid Dynasty,Great Seljuk Empire,4517011.295488134
Kingdom of Hanover,German Empire,4508912.6206970215
Stateless & unmapped,Kingdom of Portugal,4488760.828355968
Kingdom of England,(Kingdom of England),4478064.0269804
Duchy of Warsaw,German Empire,4460075.769363403
Yue,Chu,4450502.152142957
Chaulukya Dynasty,Stateless & unmapped,4403329.131162047
Seleucid Empire,Parthian Empire,4398521.20335374
Yadava Dynasty,Stateless & unmapped,4387460.415752411
Tang Dynasty,Later Shu,4386632.630358189
Stateless & unmapped,Yadava Dynasty,4341336.729606628
Former Yan,Later Yan,4325428.984279305
Sayyid Dynasty,Lodi Dynasty,4309810.8525390625
French Consulate,Kingdom of Belgium,4309458.570404053
Durrani Empire,Emirate of Afghanistan,4308211.875081144
Sikh Empire,British Empire,4286289.0857543945
Stateless & unmapped,Inca Empire,4283844.8817475885
Aq Qoyunlu,Safavid Dynasty,4271676.748905331
Stateless & unmapped,Yaudheya Republic,4264762.053627014
Median Kingdom,Achaemenid Empire,4264596.382166807
Republic of New Granada,Republic of Colombia,4257498.03928183
Tughlaq Dynasty,Sayyid Dynasty,4246997.0816345215
Kingdom of the Franks,Middle Franks,4244634.045493975
British Africa,Libyan Arab Republic,4238397.82147795
Later Shu,Northern Song,4225912.728459895
Nara Japan,Heian Japan,4173778.4468408227
Polish-Lithuanian Commonwealth,Kingdom of Prussia,4171735.1216513515
East Franks,(Holy Roman Empire),4167038.1769223213
Rashtrakuta Dynasty,Stateless & unmapped,4166236.8108958006
Kalabhra Dynasty,Pandya Dynasty,4162891.9909057617
Mughal Empire,Sikh Empire,4151157.9408569336
Fatimid Caliphate,Ayyubid Sultanate,4140641.0449750833
Serbs,Socialist Federal Republic of Yugoslavia,4135682.4993748665
Kingdom of Bohemia,(Kingdom of Bohemia),4134175.555870056
Principality of Wallachia,United Principalities of Moldavia and Wallachia,4111715.279004097
Afsharid Iran,Durrani Empire,4105358.7446187586
Samanid Empire,Ghaznavid Empire,4090122.7674929835
British Africa,Sierra Leone,4077165.798631668
Nayaks of Madurai,Carnatic Sultanate,4070437.6622314453
Ptolemaic Kingdom,Roman Empire,4068266.903503444
(Kingdom of the Franks),Burgundian Kingdom,4052812.999543458
Chola Empire,Stateless & unmapped,4035119.756121367
French Indochina,Republic of India,4033090.934249878
Kamarupa Kingdom,Stateless & unmapped,4008753.8752822876
Stateless & unmapped,Satavahana Dynasty,4006120.455846858
