year,family,population,share
300,steppe,2309721.7140009827,0.010150407974300994
300,westeurope,537.5943570137024,2.3625365840799205e-06
350,ancientne,584205.1432108786,0.002490802950352815
350,classical,1521668.7493470237,0.006487750158278078
350,dharmic,2952107.1930961832,0.01258653298721047
350,orthodox,247.25113105773926,1.0541739556277491e-06
350,sinic,36541.76075179875,0.00015579856930292798
350,steppe,2388669.0350686815,0.010184271653729414
350,westeurope,557.0992653369904,2.3752349835781488e-06
400,ancientne,623521.4834068455,0.0025814401311514573
400,classical,1665954.3594869077,0.006897214538220048
400,dharmic,3371265.776937604,0.01395737115875081
400,orthodox,960.3784427642822,3.976061000654918e-06
400,sinic,88548.43347275257,0.00036659920435814277
400,steppe,1588353.527894063,0.0065759394799975775
400,westeurope,396611.77952837944,0.0016420116891047163
450,ancientne,670430.9068351649,0.002710030770860116
450,classical,1471017.2020990849,0.005946178556969799
450,dharmic,3368808.470979579,0.013617472769246176
450,orthodox,373.50047492980957,1.5097719536362525e-06
450,sinic,26941.538409918547,0.00010890368770415314
450,steppe,393599.37457388686,0.001591016174242077
450,westeurope,1743995.600302145,0.007049617929123154
500,ancientne,622865.0954508781,0.00245961164857587
500,classical,1149806.1534264088,0.004540431995992049
500,dharmic,5761851.8850323185,0.02275278887402671
500,orthodox,1567320.8246409222,0.0061891420557958895
500,sinic,29826.831771075726,0.0001177822025990159
500,steppe,425319.17231611395,0.001679528999508471
500,westeurope,598167.2737439871,0.0023620832264369704
550,ancientne,1301115.0172626972,0.004959308483263734
550,classical,1118799.0630522966,0.004264396007153707
550,dharmic,14960490.01189109,0.05702315632774993
550,orthodox,1228383.7582391985,0.004682087219126357
550,sinic,3626.3943359851837,1.3822304681369914e-05
550,steppe,480029.0125681185,0.0018296706460664378
550,westeurope,650656.6040963307,0.0024800319522674513
600,ancientne,1367779.6764030457,0.005038249694678277
600,classical,1111644.7327542305,0.00409477040199809
600,dharmic,46676508.489978544,0.17193405393090894
600,orthodox,250335.03856880218,0.0009221152012971479
600,sinic,1423707.8697336316,0.0052442625546680905
600,steppe,1459259.1552619832,0.005375216579317494
600,westeurope,615480.430130437,0.002267137129380309
650,americas,589448.5001402199,0.002144757617887842
650,ancientne,775806.9587402698,0.002822838440292535
650,classical,1109787.8426682465,0.0040380557915336455
650,dharmic,58133087.996403955,0.21152209786261572
650,orthodox,2776416.624388203,0.010102223865478516
650,sinic,1311790.0502875298,0.004773057701825312
650,steppe,1940513.242346276,0.0070607195677728565
650,westeurope,335415.3388719931,0.001220436735407775
700,americas,605192.3170520663,0.0021755006608033815
700,ancientne,112071.55701725557,0.00040286655907320054
700,classical,182415.38650579005,0.0006557333639281957
700,dharmic,62565623.025538035,0.22490628251634467
700,islam,2808.619827270508,1.0096219198444975e-05
700,orthodox,1741383.196551174,0.006259795750981187
700,sinic,1879131.3027860522,0.0067549624735167785
700,steppe,1738669.3042885736,0.0062500400514386096
700,westeurope,1706874.8281223178,0.006135747615859596
750,americas,1320955.0339123607,0.004685078233103637
750,ancientne,947.2151939868927,3.3595218410042078e-06
750,classical,1300.9455261230469,4.614109799665613e-06
750,dharmic,26197041.079629917,0.09291397798029727
750,islam,2373073.538395391,0.008416664379075378
750,orthodox,1975532.5817120038,0.0070066917190611975
750,sinic,1073566.5944357514,0.0038076568499695344
750,steppe,808045.2476989496,0.002865922839284439
750,westeurope,1801258.8007782549,0.006388588697616829
800,americas,1356236.9528600574,0.0047468422253106905
800,ancientne,962.9316515922546,3.3702699327186972e-06
800,dharmic,24280437.274592817,0.08498176123353084
800,islam,414095.85829764605,0.001449339439799472
800,orthodox,1458551.1502365693,0.005104942888569726
800,sinic,256080.91237309948,0.0008962856272167538
800,steppe,717406.6905317381,0.002510930235424606
800,westeurope,1704909.4771674573,0.0059671993743308106
850,americas,2130664.3201188743,0.007141707852330192
850,ancientne,392.0766201019287,1.3141894995175977e-06
850,dharmic,32693966.47120668,0.10958589528462645
850,islam,384170.2763965875,0.001287688470523736
850,japan,32.54669666290283,1.0909226616790286e-07
850,orthodox,427066.44058776647,0.0014314707968837589
850,sinic,1115905.9024712846,0.003740370489564564
850,steppe,788198.043942377,0.002641936651616953
850,westeurope,1201805.843165189,0.004028295844664202
900,americas,2375170.805261761,0.007637978627790477
900,ancientne,406.3611316680908,1.3067597631167292e-06
900,dharmic,37142992.651773766,0.11944294002685893
900,islam,1726330.4314811975,0.005551463882490987
900,japan,35.6508674621582,1.1464462392974967e-07
900,orthodox,600928.5779882371,0.0019324419217913215
900,sinic,1805695.395649395,0.005806682538247933
900,steppe,858010.9783132896,0.0027591571520871167
900,westeurope,435473.6756569743,0.0014003787097184228
950,africa,200633.69659126177,0.0006325383059632421
950,americas,2580184.4129171297,0.00813455319494146
950,ancientne,420.64563941955566,1.3261704523708552e-06
950,dharmic,51880404.743746266,0.16356346858399992
950,islam,1932290.5537090618,0.006091936769534345
950,japan,2344.687997817993,7.3921031180199735e-06
950,orthodox,654792.0134183541,0.002064364251682462
950,sinic,1399085.5244874125,0.004410900076071795
950,steppe,144561.66716722772,0.0004557598928332899
950,westeurope,111747.18151846528,0.00035230559021128796
1000,africa,201536.45692110807,0.0006231648681903687
1000,americas,2880045.7873214036,0.00890530368974843
1000,ancientne,434.9301471710205,1.3448345375047616e-06
1000,dharmic,34390346.40717068,0.10633736453070027
1000,islam,1846544.6236209832,0.005709645562722426
1000,japan,2257.4632720947266,6.9802348611804416e-06
1000,orthodox,1238205.0228255913,0.003828616825112734
1000,sinic,1203579.157835937,0.003721551220596813
1000,steppe,96987.76222094893,0.0002998929671774254
1000,westeurope,311714.1086010933,0.0009638418992128949
1050,africa,204244.73782855645,0.0005662989008270428
1050,americas,3055799.678168379,0.008472658915437845
1050,ancientne,442.392147064209,1.226597998462361e-06
1050,dharmic,30073543.017473146,0.08338336906904975
1050,islam,2948144.601573573,0.008174169210428829
1050,japan,3910.548267364502,1.0842576455010086e-05
1050,orthodox,1445775.788791757,0.0040086283188474426
1050,sinic,1810409.119661118,0.005019628438956054
1050,steppe,160674.42125470936,0.0004454937204988859
1050,westeurope,412923.7035012804,0.0011448923575915636
1100,africa,206953.01873600483,0.0005200817725520185
1100,americas,3231553.569015354,0.008121032099629433
1100,ancientne,449.85414695739746,1.130502679151188e-06
1100,dharmic,7105254.433563352,0.01785580777130177
1100,islam,2926523.5237171417,0.007354478571639184
1100,japan,5563.633262634277,1.398164794470233e-05
1100,orthodox,191830.54950900376,0.00048207836168621807
1100,sinic,2198647.6134533053,0.005525295330341189
1100,steppe,13670.779916584492,3.435525364457437e-05
1100,westeurope,1060478.8977625072,0.002665028750345943
1150,africa,209661.29963000864,0.0004976086852890284
1150,americas,2618994.821323976,0.006215904280463912
1150,ancientne,444.6610107421875,1.0553553819669287e-06
1150,dharmic,9726507.626047134,0.02308482624495894
1150,islam,3052173.743571292,0.007244008152636768
1150,orthodox,240371.91328836977,0.0005704970443420555
1150,sinic,3122315.354686016,0.007410481769620189
1150,steppe,2877.060291290283,6.828395090427629e-06
1150,westeurope,832022.0022179782,0.0019747152926451418
1200,africa,212369.58052401245,0.0004775017656056132
1200,americas,3349690.673517585,0.007531602251559047
1200,dharmic,18876217.507867046,0.042442176349936155
1200,islam,1727028.2484676898,0.003883131641825926
1200,orthodox,286174.6000121385,0.0006434484469955692
1200,sinic,3365080.540085477,0.007566205552278814
1200,steppe,2972.3749845027924,6.68322788809935e-06
1200,westeurope,20518.85103274882,4.613555092099593e-05
1250,africa,216991.90148923546,0.00048159346763167025
1250,americas,2686264.918215513,0.005961916680125002
1250,dharmic,19185585.654552575,0.04258063393383722
1250,islam,1437400.9075593187,0.00319017844766314
1250,orthodox,4434.808441758156,9.842647403384618e-06
1250,sinic,1420058.3683748841,0.0031516882850070728
1250,steppe,75.1229953840375,1.667285442340406e-07
1250,westeurope,46840.885291576385,0.0001039590151507412
1300,africa,41268.99438324571,9.04248479300171e-05
1300,americas,2812943.0618087053,0.006163463694746905
1300,dharmic,17993870.55150345,0.0394265242613393
1300,islam,17417983.579639647,0.038164693372704825
1300,orthodox,2832.448081970215,6.206201311893507e-06
1300,steppe,1088193.009078227,0.0023843490454508016
1300,westeurope,159568.8911690563,0.00034963276750405174
1350,africa,41964.631599508226,9.33718461188294e-05
1350,americas,1500336.8070272803,0.003338268730895012
1350,dharmic,19529001.855157502,0.043452280803424684
1350,islam,16095746.715854757,0.03581324387315856
1350,orthodox,17692.625777244568,3.9366320364177185e-05
1350,steppe,2024189.9872439057,0.004503848807919193
1350,westeurope,240897.74969458953,0.0005360005975870186
1400,africa,81193.72965599597,0.00018349644233850356
1400,americas,1206378.5508019924,0.0027263949214247963
1400,dharmic,16378458.665931806,0.037015036862083336
1400,islam,24228244.435855895,0.0547554186379082
1400,orthodox,14196.686861038208,3.2084269844868645e-05
1400,sinic,1946821.1835219967,0.004399782625568061
1400,steppe,565363.9516362324,0.0012777128750117136
1400,westeurope,234441.91523828357,0.0005298347244733716
1450,africa,42533.7533864975,8.994973534142904e-05
1450,americas,352865.4351620078,0.0007462344603247928
1450,dharmic,13452986.019433364,0.028450170409464133
1450,islam,34815436.57615347,0.0736271562343582
1450,orthodox,441119.43263686076,0.000932872673123719
1450,sinic,1194199.9197864686,0.0025254758439364274
1450,steppe,338819.8668047562,0.0007165311057918774
1450,westeurope,405316.91242663935,0.0008571580474192328
1500,africa,321408.841639705,0.0006386771618147623
1500,americas,14084.67060494423,2.798789666510012e-05
1500,dharmic,15952898.476854801,0.03170028512575308
1500,islam,27410955.351050183,0.054468791452429104
1500,japan,10242.775146484375,2.0353598632475476e-05
1500,orthodox,702659.6346869171,0.0013962673177071651
1500,sinic,1337486.443960438,0.002657742835064703
1500,steppe,304840.75676614046,0.0006057544289808716
1500,westeurope,622402.078293398,0.0012367861159141502
1550,africa,364681.1792871095,0.0007157671687964465
1550,americas,24975.372158795595,4.901967097584902e-05
1550,dharmic,15420154.679112718,0.030265451259776383
1550,islam,18780435.806339376,0.03686074338177971
1550,japan,12199.728210449219,2.3944654721006695e-05
1550,orthodox,781464.5048077144,0.001533796279847958
1550,sinic,3595219.1213229266,0.007056409702037836
1550,steppe,1852915.791740518,0.003636755515776671
1550,westeurope,818274.8775130734,0.0016060447471397496
1600,africa,1913240.0993623063,0.0037096097638094354
1600,americas,6531.770268261433,1.2664546791685417e-05
1600,dharmic,20108518.540732652,0.03898870650855988
1600,islam,3469038.1492028907,0.0067261698067062736
1600,orthodox,833735.3038895652,0.001616541815516106
1600,sinic,3736226.7254268215,0.007244225722149921
1600,steppe,1621588.5201355852,0.003144122166988475
1600,westeurope,438426.5392025858,0.0008500717558037686
1650,africa,2316051.467385143,0.004182578705972618
1650,americas,7027.0607234835625,1.2690233771360028e-05
1650,dharmic,13802542.999834016,0.024926139704725764
1650,islam,3670089.7644614726,0.006627848955004224
1650,japan,2771.330078125,5.004770548157903e-06
1650,orthodox,765475.1196587496,0.0013823785785949093
1650,sinic,134951.73941099178,0.00024371059086681192
1650,steppe,1071598.1688094288,0.001935209016439459
1650,westeurope,1333230.8285504133,0.0024076938497126594
1700,africa,3092111.962135561,0.005225607285706439
1700,americas,3095.530458331108,5.2313844758096315e-06
1700,dharmic,3203685.184321195,0.005414163796558109
1700,islam,798781.4500318877,0.0013499246521755765
1700,japan,3386.4765625,5.723077564646824e-06
1700,orthodox,183512.88020389527,0.0003101330920605281
1700,sinic,45401.4599108696,7.672755792713684e-05
1700,steppe,709731.5512665957,0.0011994321067963513
1700,westeurope,153039.10362361372,0.0002586330199832777
1750,africa,2589324.8886891752,0.0034724954791789152
1750,americas,388809.8931386424,0.0005214257206894847
1750,dharmic,3033290.8088160157,0.0040678899224503495
1750,islam,39659311.7138789,0.05318636577255081
1750,japan,3626.604736328125,4.863572202422055e-06
1750,orthodox,356089.4205272496,0.00047754490306169784
1750,sinic,18009.108202934265,2.41516802668945e-05
1750,steppe,170167.1303658262,0.00022820797555432343
1750,westeurope,167280.24665427208,0.00022433642946867105
1800,africa,3662410.0632478,0.003882011317911413
1800,americas,114042.20667063817,0.00012088027538413186
1800,dharmic,590042.342046082,0.0006254217879246986
1800,islam,4193828.5770532116,0.004445294142476077
1800,japan,3234.229736328125,3.428156930635304e-06
1800,orthodox,309062.89656436443,0.00032759457343380755
1800,sinic,1064.2719268798828,1.1280865861916328e-06
1800,steppe,2441.464754074812,2.5878570787879996e-06
1800,westeurope,212539.10450279992,0.00022528313185305943
1850,africa,8796847.635603786,0.006923357631618675
1850,americas,322.07631492614746,2.534827935273786e-07
1850,dharmic,653748.3581486344,0.0005145176854294656
1850,islam,739198.0326475948,0.0005817688963822746
1850,japan,521154.9629945755,0.0004101630879340326
1850,orthodox,14380.076198458672,1.1317509909903488e-05
1850,sinic,9491.879783630371,7.470366779166552e-06
1850,steppe,2631.5644676983356,2.0711125956980725e-06
1850,westeurope,133622.63362218533,0.00010516463607950691
1900,africa,450077.93268449605,0.0002740987911646155
1900,dharmic,20357.060838460922,1.2397510213854755e-05
1900,islam,120212.10988515615,7.320953019477878e-05
1900,japan,3616.162353515625,2.202253560492697e-06
1900,orthodox,1133.845500946045,6.905152610417118e-07
1900,westeurope,37844.29339838028,2.3047286524590805e-05
1950,islam,68094.07247877121,2.6916986343367236e-05
1950,japan,5428.287109375,2.14575402339866e-06
1950,orthodox,55556.93703043461,2.1961167263034984e-05
1950,sinic,785.254150390625,3.1040404065605557e-07
1950,westeurope,29499.689116477966,1.166096695610862e-05
2000,islam,185421.66807031631,3.034504513404362e-05
2000,japan,4981.7236328125,8.152802747179448e-07
2000,orthodox,85743.2061573267,1.4032240610601076e-05
2000,sinic,1017.59375,1.6653354806494715e-07
2000,westeurope,317373.1744365692,5.1939470736290644e-05
2015,africa,11.896723747253418,1.6393525223277605e-09
2015,dharmic,54755.03564453125,7.54517022509934e-06
2015,islam,240593.38556861877,3.315344475224528e-05
2015,japan,4527.85400390625,6.239321883681834e-07
2015,orthodox,84795.79945999384,1.1684747051442037e-05
2015,sinic,915.599365234375,1.2616836035931329e-07
2015,westeurope,628899.1324680448,8.666145411162064e-05
