year,polity_id,country_iso,population
800,Avar Khaganate,ROU,443890.83058747544
800,Avar Khaganate,SRB,78114.69859702158
800,Avar Khaganate,UKR,3756.921352785329
800,Scandinavian minor kingdoms,DEU,5899.636032406032
800,Scandinavian minor kingdoms,DNK,89213.5585759192
800,Scandinavian minor kingdoms,NOR,430749.03189644445
800,Scandinavian minor kingdoms,SWE,312048.84232960956
800,Aghlabid Dynasty,DZA,449308.5273428054
800,Aghlabid Dynasty,LBY,581246.6835508626
800,Aghlabid Dynasty,TUN,608713.9421658445
800,Abbasid Caliphate,AFG,1004726.4282230468
800,Abbasid Caliphate,ARE,206401.1816982782
800,Abbasid Caliphate,ARM,86722.8645655425
800,Abbasid Caliphate,AZE,243512.51376169024
800,Abbasid Caliphate,BHR,1402.480716471436
800,Abbasid Caliphate,EGY,1749319.2108455473
800,Abbasid Caliphate,GEO,134900.02114208756
800,Abbasid Caliphate,IRN,4739431.119705381
800,Abbasid Caliphate,IRQ,1281429.031487234
800,Abbasid Caliphate,ISR,62970.239171429115
800,Abbasid Caliphate,JOR,260194.56366788602
800,Abbasid Caliphate,KAZ,118580.71987741141
800,Abbasid Caliphate,KGZ,125408.91417353471
800,Abbasid Caliphate,KWT,50722.438020340196
800,Abbasid Caliphate,LBN,26265.093482271524
800,Abbasid Caliphate,LBY,438243.1651644921
800,Abbasid Caliphate,OMN,911330.5089741433
800,Abbasid Caliphate,PAK,1029542.1331778408
800,Abbasid Caliphate,PSE,18063.20026227683
800,Abbasid Caliphate,QAT,32128.37781850698
800,Abbasid Caliphate,RUS,7721.61003842714
800,Abbasid Caliphate,SAU,5619137.623774937
800,Abbasid Caliphate,SYR,542563.8136327377
800,Abbasid Caliphate,TJK,261821.15966880487
800,Abbasid Caliphate,TKM,1288341.860175124
800,Abbasid Caliphate,TUR,791408.7698926183
800,Abbasid Caliphate,UZB,609491.5156051386
800,Abbasid Caliphate,YEM,1314626.7600988923
800,Kingdom of the Franks,AND,4105.653485885714
800,Kingdom of the Franks,AUT,780112.9696473044
800,Kingdom of the Franks,BEL,285183.2436123923
800,Kingdom of the Franks,BIH,35768.62234184206
