country_iso,year,gdppc
MUS,2015,18322.0
MWI,1950,516.0
MWI,2000,967.0872
MWI,2015,1124.0
MYS,1850,1017.4
MYS,1900,817.743
MYS,1950,2485.0
MYS,2000,13474.7015
MYS,2015,22432.0
NAM,1950,4009.0
NAM,2000,5971.8148
NAM,2015,9462.0
NER,1950,983.0
NER,2000,693.3765
NER,2015,913.0
NGA,1950,1200.0
NGA,2000,2144.8254
NGA,2015,5578.0
NIC,1950,2565.0
NIC,2000,2858.5269
NIC,2015,4866.0
NLD,1350,1631.016
NLD,1400,1917.1123
NLD,1450,2201.426
NLD,1500,2332.4421
NLD,1550,2884.1355
NLD,1600,4270.0535
NLD,1650,4316.3993
NLD,1700,3377.0053
NLD,1750,3777.1836
NLD,1800,4184.492
NLD,1850,3779.0
NLD,1900,5306.0
NLD,1950,9558.0
NLD,2000,37899.9504
NLD,2015,44869.0
NOR,1850,1623.0
NOR,1900,3249.0
NOR,1950,8655.0
NOR,2000,54039.9607
NOR,2015,82713.0
NPL,1850,641.0
NPL,1900,800.7674418604652
NPL,1950,802.0
NPL,2000,1676.7456
NPL,2015,2455.0
NZL,1850,1824.0
NZL,1900,6851.0
NZL,1950,13479.0
NZL,2000,26823.0175
NZL,2015,33696.0
OMN,1950,993.0
OMN,2000,24186.3654
OMN,2015,38738.0
PAK,1950,1025.0
PAK,2000,3154.5116
PAK,2015,5030.0
PAN,1950,2577.0
PAN,2000,9898.7878
PAN,2015,20723.0
PER,1600,921.0
PER,1650,1062.0
PER,1700,1157.0
PER,1750,1105.0
PER,1800,1058.0
PER,1850,945.0
PER,1900,1084.0
PER,1950,3679.0
PER,2000,6038.2444
PER,2015,11445.0
PHL,1850,969.4
PHL,1900,1068.125
PHL,1950,1706.0
PHL,2000,4033.5609
PHL,2015,7047.0
POL,1400,956.0
POL,1450,905.0
POL,1500,944.0
POL,1550,1041.0
POL,1600,1038.0
POL,1650,901.0
POL,1700,985.0
POL,1750,1079.0
POL,1800,902.0
POL,1850,985.0
POL,1900,2700.0
POL,1950,3900.0
POL,2000,12732.1668
POL,2015,24177.0
PRI,1950,3416.0
PRI,2000,27392.4588
PRI,2015,35384.0
PRK,1850,755.64568
PRK,1900,988.9581073170732
PRK,1950,2461.083280851064
PRK,2000,1657.1444
PRK,2015,1762.5167
PRT,50,966.4190311968607
PRT,100,977.0506956834532
PRT,150,987.6823601700457
PRT,200,998.3140246566384
PRT,250,1008.9456891432309
PRT,300,1019.5773536298234
PRT,350,1030.209018116416
PRT,400,1040.8406826030084
PRT,450,1051.472347089601
PRT,500,1062.1040115761937
PRT,550,1072.735676062786
PRT,600,1083.3673405493787
PRT,650,1093.999005035971
PRT,700,1104.6306695225637
PRT,750,1115.2623340091563
PRT,800,1125.8939984957487
PRT,850,1136.5256629823414
PRT,900,1147.157327468934
PRT,950,1157.7889919555264
PRT,1000,1168.420656442119
PRT,1050,1179.0523209287117
PRT,1100,1189.683985415304
PRT,1150,1200.3156499018967
PRT,1200,1210.947314388489
PRT,1250,1221.5789788750817
PRT,1300,1232.210643361674
PRT,1350,1242.8423078482667
PRT,1400,1253.4739723348594
PRT,1450,1264.1056368214518
PRT,1500,1274.7373013080444
PRT,1550,1330.7799
PRT,1600,1258.481
PRT,1650,1321.6973
PRT,1700,1572.1236
PRT,1750,2184.4487
PRT,1800,1458.7521
PRT,1850,1469.8775
PRT,1900,2075.0
