polity_id,year,urban_pop
Fatimid Caliphate,1050,991050.9411223696
Fatimid Caliphate,1100,882978.6236283848
Fatimid Caliphate,1150,901735.8997197193
Federal Republic of Germany,1950,14201000.0
Federal Republic of Nigeria,2000,1061000.0
Federal Republic of Nigeria,2015,1061000.0
Federated Republic of Germany,2000,6286000.0
Federated Republic of Germany,2015,6286000.0
Federated Republic of Mexico,1850,480165.0
Fihrids,750,53076.92307692308
First Bulgarian Empire,800,54000.0
First Bulgarian Empire,850,21250.0
First Bulgarian Empire,900,62500.0
First Bulgarian Empire,950,72321.42857142858
First Bulgarian Empire,1000,60000.0
First Hellenic Republic,1850,73500.0
First Hellenic Republic,1900,218000.0
First Toungoo Empire,1550,298071.1216897133
First Toungoo Empire,1600,101884.55008488963
First Toungoo Empire,1650,353563.6716224934
First Toungoo Empire,1700,282809.64241085935
First Toungoo Empire,1750,126131.10767047614
Four Oirats,1450,30000.0
Francoist Spain,1950,4659000.0
Free City of Frankfurt,1850,43000.0
Free City of Hamburg,1850,194000.0
French Africa,1900,156000.0
French Consulate,1800,1519042.6988053229
French Fifth Republic,2000,2152000.0
French Fifth Republic,2015,2152000.0
French India,1800,25000.0
French Indochina,1900,275000.0
French Indochina,1950,1470000.0
French Louisiana,1800,9028.0
French Second Republic,1850,725705.632481472
Funj Sultanate,1600,40000.0
Funj Sultanate,1650,35000.0
Funj Sultanate,1700,30000.0
Funj Sultanate,1750,30000.0
Funj Sultanate,1800,18500.0
Gahadavala Dynasty,1100,163019.801980198
Gahadavala Dynasty,1150,174277.22772277228
Gahadavala Dynasty,1200,168125.34114442964
Galatia,-50,33409.230769230766
Georgia,2000,1268000.0
Georgia,2015,1268000.0
German Confederation,1850,1116523.6666666667
German Democratic Republic,1950,1738000.0
German Empire,1900,14701000.0
Germiyanids,1350,64796.87916777807
Germiyanids,1400,53460.97215667767
Ghana Empire,1050,30000.0
Ghana Empire,1100,25000.0
Ghana Empire,1150,25000.0
Ghana Empire,1200,25000.0
Ghaznavid Empire,1000,396000.0
Ghaznavid Empire,1050,97969.58158116064
Ghaznavid Empire,1100,188312.68962023547
Ghaznavid Empire,1150,224917.8583489429
Ghurid Dynasty,1200,440495.63651761116
Goguryeo,350,49782.393669634024
Goguryeo,400,52805.75539568345
Goguryeo,450,56402.87769784173
Goguryeo,500,60000.0
Goguryeo,550,60000.0
Goguryeo,600,60000.0
Goguryeo,650,59259.25925925926
Gojoseon,-150,39891.19683481701
Gojoseon,-100,40880.316518298714
Golconda Sultanate,1550,160141.76950827788
Golconda Sultanate,1600,192219.76107666717
Golconda Sultanate,1650,155911.64901695467
Golden Horde,1300,252357.8748025233
Golden Horde,1350,261472.9457245293
Golden Horde,1400,51842.70101483216
Golden Horde,1450,24478.955007256896
Golden Horde,1550,37500.0
